LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Liverpool,1/11/2020,9999,24,83,183.9545455,108,22.7273,93.147727,0.76,,70856,3820.840909
Mosman,1/11/2020,4000,30,213.5,410.2405858,332,10.251,94.421769,-2.45,,10879,8804.711297
North Sydney,1/11/2020,14589,26,130,201.9705882,916,14.5378,94.26247,-5.41,,335985,4212.12437
Northern Beaches,1/11/2020,10000,20,200,353.3758136,3896,15.7254,95.053996,-0.31,,6245148,7872.26097
Parramatta,1/11/2020,3000,20,80,107.396648,395,12.4767,90.478528,0,,333111,1517.821229
Penrith,1/11/2020,2329,24,100,177.3548387,104,31.6129,95.348624,-2.52,,56175,3107.916129
Randwick,1/11/2020,10000,16,108,187.2213006,2430,9.4227,92.517609,-2.14,,1076820,4271.85136
Ryde,1/11/2020,829,16,80,101.9741824,457,13.0809,92.845771,-0.85,,139295,1850.462995
Strathfield,1/11/2020,4567,20,69,122.1639344,141,13.6612,87.781513,-5.67,,5538,1218.786885
Sutherland Shire,1/11/2020,1500,24,135.5,216.4527559,449,26.1811,95.643979,0.2,,420783,4519.163386
Sydney,1/11/2020,22500,11,115,169.3023937,5728,13.9228,92.657575,-1.62,,4571650,3583.400342
The Hills Shire,1/11/2020,9999,25,75,223.2605863,235,17.5896,92.495238,-2.23,,48389,2088.931596
Waverley,1/11/2020,10000,5,150,235.6504219,3964,8.9662,94.036782,-0.52,,1298462,5626.181857
Willoughby,1/11/2020,14568,24,102,208.1257732,372,11.134,92.471154,-1.62,,92120,4706.740206
Woollahra,1/11/2020,28613,20,150,319.424735,1192,9.3993,93.691372,-1.6,,231721,6947.042403
Bayside,1/12/2020,2904,15,80,116.8160951,1128,13.1949,92.124726,1.08,,954780,2486.875352
Blacktown,1/12/2020,2000,22,61.5,92.99295775,217,12.2807,91,-0.35,,244805,1670.380282
Burwood,1/12/2020,530,16,70,100.1984127,151,7.9365,89.959064,-0.79,,27594,1635.718254
Camden,1/12/2020,472,35,100,127.6037736,43,30.1887,95.028571,0,,23250,2250.075472
Campbelltown,1/12/2020,2243,24,83.5,174.3627451,69,23.5294,89.578947,3.03,,65345,3326.5
Canada Bay,1/12/2020,3300,21,104,157.1811024,324,8.6614,93.13617,2.42,,145384,3385.587927
Canterbury-Bankstown,1/12/2020,900,13,70,98.41876047,457,13.2328,91.054645,1.02,,439179,1839.879397
Cumberland,1/12/2020,15000,15,93,178.1279318,359,12.3667,90.246106,0,,147645,4254.4371
Fairfield,1/12/2020,1429,20,75,109.1764706,56,10.5882,92.203704,3.66,,32959,1778.164706
Georges River,1/12/2020,1850,21,73,113.5889724,294,14.5363,92.342742,-4.77,,143854,2333.997494
Hornsby,1/12/2020,1466,20,94,165.6436782,322,26.1468,93.912121,5.07,,297772,3564.937931
Hunters Hill,1/12/2020,1000,30,164,273.0392157,50,9.8039,95.16129,2,,7014,6019.137255
Inner West,1/12/2020,9021,17,100,162.3463437,1866,13.9973,93.560284,-1.28,,1024974,3710.881561
Lane Cove,1/12/2020,2750,25,110,216.790378,221,13.4021,91.798942,-1.69,,53181,4917.360825
Liverpool,1/12/2020,503,24,90,114.1804511,106,22.5564,93.597701,0.76,,79254,2032.902256
Mosman,1/12/2020,8230,30,250,514.0373444,333,10.7884,94.401384,0.84,,11595,11026.70747
North Sydney,1/12/2020,14589,26,135,213.7437604,933,14.3095,94.411976,1.01,,363142,4744.770383
Northern Beaches,1/12/2020,10000,20,214,396.8408673,3987,15.5387,95.116337,2.65,,6966939,9548.082225
Parramatta,1/12/2020,3000,20,80,110.2633588,400,12.2137,90.675,-2.42,,390498,1997.339695
Penrith,1/12/2020,2172,24,114,183.2919255,108,30.4348,95.485981,3.87,,69875,3609.453416
Randwick,1/12/2020,10000,16,110,198.3230514,2451,9.2824,92.399566,0.8,,1132305,4695.33341
Ryde,1/12/2020,1086,16,85,105.1544992,460,13.073,92.906634,1.38,,160719,2223.342954
Strathfield,1/12/2020,4567,20,67,129.0338983,141,14.1243,89.106195,-3.28,,6216,1476.59887
Sutherland Shire,1/12/2020,1669,24,148,236.4466019,454,26.4078,95.7,1.38,,501020,5712.073786
Sydney,1/12/2020,22500,11,120,181.9059086,5668,14.3371,92.673168,-1.61,,4916550,4181.368297
The Hills Shire,1/12/2020,7918,25,75,208.2094595,227,16.8919,92.39196,-3.58,,60478,4009.027027
Waverley,1/12/2020,10000,5,150,256.741566,4009,8.9736,94.149383,1.31,,1354199,6210.09621
Willoughby,1/12/2020,14568,22,115,237.5731959,375,10.5155,92.339934,0,,108210,5825.529897
Woollahra,1/12/2020,28613,25,155,346.1704871,1172,8.8109,93.759174,-1.34,,238658,7626.09957
Bayside,1/01/2021,2904,15,80,128.8322237,1128,11.8509,92.107301,0.6,,934290,2631.88482
Blacktown,1/01/2021,2228,22,61,106.6807018,213,11.9298,90.596591,0.35,,225225,1718.115789
Burwood,1/01/2021,530,16,70,98.87250996,149,9.5618,89.971591,-0.4,,27846,1636.167331
Camden,1/01/2021,448,35,100,127.2264151,43,37.7358,94.40625,0,,21375,1837.056604
Campbelltown,1/01/2021,8000,21,83,237.4271845,69,26.2136,89.84,0.98,,69195,3293.834951
